Island,Site,Transect,turf_prop,mean_turf_n15,se_turf_n15
Fregate,Low,1,0.25,5.125,0.18588591
Fregate,Low,2,0.233333333,5.125,0.18588591
Fregate,Low,3,0.033333333,5.125,0.18588591
Fregate,Low,4,0.033333333,5.125,0.18588591
Cousine,Site 1,1,0.083333333,4.6,0.530648002
Cousine,Site 1,2,0.3,4.6,0.530648002
Cousine,Site 1,3,0.083333333,4.6,0.530648002
Cousine,Site 1,4,0.133333333,4.6,0.530648002
Aride,Site 1,1,0.05,4.155555556,0.31309388
Aride,Site 1,2,0.083333333,4.155555556,0.31309388
Aride,Site 1,3,0.05,4.155555556,0.31309388
Aride,Site 1,4,0.3,4.155555556,0.31309388
Fregate,High,1,0.1,6.011111111,0.14443376
Fregate,High,2,0.116666667,6.011111111,0.14443376
Fregate,High,3,0.033333333,6.011111111,0.14443376
Fregate,High,4,0.05,6.011111111,0.14443376
Felicite,Site 1,1,0.1,3.375,0.292091527
Felicite,Site 1,2,0.383333333,3.375,0.292091527
Felicite,Site 1,3,0.2,3.375,0.292091527
Felicite,Site 1,4,0.083333333,3.375,0.292091527