Island,Site,Observer,Cage,Number.Hours,Average_turf_height_initial,Average_turf_height_final,se_turf_height_initial,se_turf_height_final,Turf_growth_total,Turf_growth_per_hour,Turf_growth_mm_per_day,Sample.ID,Date,Turf_N15
Aride,Site 1,CB,1,168,1.727,3.66,0.081555026,0.325675367,1.933,0.011505952,0.276142857,507,17_November_2022,3.6
Aride,Site 1,CB,3,168,1.295,3.165,0.1723127,0.167327025,1.87,0.011130952,0.267142857,525,17_November_2022,2.4
Aride,Site 1,CB,15,168,1.401,3.629,0.166188982,0.348878998,2.228,0.013261905,0.318285714,515,17_November_2022,NA
Aride,Site 1,CB,17,168,1.525,3.179,0.200960195,0.214297042,1.654,0.009845238,0.236285714,524,17_November_2022,3.7
Aride,Site 1,CB,27,168,1.48,3.927,0.080194209,0.362546702,2.447,0.014565476,0.349571429,509,17_November_2022,3.3
Aride,Site 1,NG,7,168,1.64,4.676,0.172626765,0.497826833,3.036,0.018071429,0.433714286,512,17_November_2022,4.8
Aride,Site 1,NG,8,168,1.435,4.408,0.115057956,0.28486176,2.973,0.017696429,0.424714286,510,17_November_2022,4.7
Aride,Site 1,NG,12,168,1.669,3.604,0.185834155,0.417572881,1.935,0.011517857,0.276428571,518,17_November_2022,4.5
Aride,Site 1,NG,19,168,0.958,4.638,0.06106099,0.233945863,3.68,0.021904762,0.525714286,522,17_November_2022,5.7
Aride,Site 1,NG,30,168,1.178,4.974,0.09398345,0.579795366,3.796,0.022595238,0.542285714,511,17_November_2022,4.7
Cousine,Site 1,CB,9,146,1.836,2.319,0.213005999,0.211730699,0.483,0.003308219,0.07939726,527,17_November_2022,2.6
Cousine,Site 1,CB,11,146,1.147,2.531,0.095603928,0.16816295,1.384,0.009479452,0.227506849,540,17_November_2022,4.6
Cousine,Site 1,CB,13,146,3.912,4.05,0.418023923,0.35149838,0.138,0.000945205,0.022684932,534,17_November_2022,4.5
Cousine,Site 1,CB,20,146,1.535,4.409,0.095803619,0.477126701,2.874,0.019684932,0.472438356,545,17_November_2022,4
Cousine,Site 1,CB,22,146,1.624,3.607,0.146599985,0.442380053,1.983,0.013582192,0.325972603,543,17_November_2022,3.4
Cousine,Site 1,NG,4,146,2.12,4.817,0.27522516,0.327149473,2.697,0.018472603,0.443342466,546,17_November_2022,8
Cousine,Site 1,NG,6,146,1.567,3.43,0.155528133,0.172040047,1.863,0.012760274,0.306246575,528,17_November_2022,4.5
Cousine,Site 1,NG,14,146,1.645,3.037,0.152543254,0.281124923,1.392,0.009534247,0.228821918,537,17_November_2022,NA
Cousine,Site 1,NG,25,146,1.697,3.324,0.127270927,0.281879407,1.627,0.011143836,0.267452055,529,17_November_2022,5.2
Felicite,Site 1,CB,2,119,1.878,2.252,0.238168008,0.263724604,0.374,0.003142857,0.075428571,565,20_November_2022,3.5
Felicite,Site 1,CB,21,119,1.099,2.073,0.091778114,0.156390182,0.974,0.008184874,0.196436975,557,20_November_2022,3.9
Felicite,Site 1,CB,24,119,1.473,2.7,0.095580681,0.201731395,1.227,0.010310924,0.247462185,565,20_November_2022,2.9
Felicite,Site 1,CB,31,119,1.504,2.736,0.153392742,0.38143064,1.232,0.010352941,0.248470588,558,20_November_2022,5.1
Felicite,Site 1,CB,32,119,1.41,2.013,0.166373075,0.196452143,0.603,0.005067227,0.121613445,560,20_November_2022,2.1
Felicite,Site 1,CB,33,119,1.047,2.644,0.097787184,0.195483446,1.597,0.013420168,0.322084034,563,20_November_2022,3.4
Felicite,Site 1,CB,34,119,1.275,1.84,0.060905209,0.182987553,0.565,0.004747899,0.11394958,562,20_November_2022,NA
Felicite,Site 1,CB,35,119,1.371,2.58,0.100514786,0.198734888,1.209,0.010159664,0.243831933,559,20_November_2022,3.2
Felicite,Site 1,CB,37,119,1.386,2.555,0.092246048,0.367814114,1.169,0.009823529,0.235764706,564,20_November_2022,2.9
Fregate,High,CB,13,115,1.713,2.466,0.269555395,0.169162644,0.753,0.006547826,0.157147826,194,06-November_2022,NA
Fregate,High,CB,14,115,1.428,2.911,0.105090437,0.376724037,1.483,0.012895652,0.309495652,205,06-November_2022,6
Fregate,High,CB,16,115,2.431,6.526,0.314382817,0.906865419,4.095,0.035608696,0.854608696,197,06-November_2022,6.1
Fregate,High,CB,17,115,3.909,5.12,0.447860221,0.368236035,1.211,0.010530435,0.252730435,191,06-November_2022,6.2
Fregate,High,CB,19,115,1.606,2.151,0.162584679,0.201821979,0.545,0.00473913,0.11373913,188,06-November_2022,6.6
Fregate,High,NG,6,94,1.583,4.034,0.151965274,0.411841933,2.451,0.026074468,0.625787234,187,06-November_2022,6.1
Fregate,High,NG,8,94,1.639,3.481,0.140257303,0.363301069,1.842,0.019595745,0.470297872,189,06-November_2022,6
Fregate,High,NG,11,94,1.509,2.731,0.103198299,0.179173721,1.222,0.013,0.312,193,06-November_2022,6.5
Fregate,High,NG,12,94,1.426,3.216,0.1277167,0.193311493,1.79,0.019042553,0.457021277,196,06-November_2022,5.2
Fregate,High,NG,15,94,1.952,3.421,0.116493204,0.251517395,1.469,0.01562766,0.37506383,186,06-November_2022,5.4
Fregate,Low,CB,7,98,5.625,5.112,0.617630328,0.562815936,-0.513,-0.005234694,-0.125632653,206,06-November_2022,5
Fregate,Low,CB,10,98,4.434,5.228,0.469252834,0.235030967,0.794,0.008102041,0.19444898,216,06-November_2022,4.8
Fregate,Low,CB,30,98,3.216,5.05,0.327088843,0.528263402,1.834,0.018714286,0.449142857,207,06-November_2022,4.8
Fregate,Low,NG,1,98,2.099,4.315,0.19594472,0.300152739,2.216,0.022612245,0.542693878,208,06-November_2022,4.3
Fregate,Low,NG,2,98,2.807,3.309,0.200920382,0.241331722,0.502,0.005122449,0.122938776,213,06-November_2022,5.6
Fregate,Low,NG,3,98,3.079,4.418,0.272243559,0.441486882,1.339,0.013663265,0.327918367,215,06-November_2022,5.7
Fregate,Low,NG,4,98,3.37,5.337,0.381261065,0.594829667,1.967,0.020071429,0.481714286,209,06-November_2022,5
Fregate,Low,NG,9,98,3.209,6.736,0.441800483,0.730608878,3.527,0.035989796,0.863755102,217,06-November_2022,5.8